team_name,player_name,birth_country,citizenship,representing,data_complete
Czech Republic,David Zima,,,Czech Republic,False
Czech Republic,Patrik Schick,,,Czech Republic,False
Czech Republic,Jan Kuchta,,,Czech Republic,False
Czech Republic,Mojmír Chytil,,,Czech Republic,False
Czech Republic,Lukáš Provod,,,Czech Republic,False
Czech Republic,Lukáš Horníček,,,Czech Republic,False
Mexico,Raúl Rangel,,,Mexico,False
Mexico,Jorge Sánchez,,,Mexico,False
Mexico,Álvaro Fidalgo,,,Mexico,False
Mexico,Santiago Giménez,,,Mexico,False
Mexico,Armando González,,,Mexico,False
Mexico,Mateo Chávez,,,Mexico,False
Mexico,Jesús Gallardo,,,Mexico,False
South Africa,Thabang Matuludi,,,South Africa,False
South Africa,Evidence Makgopa,,,South Africa,False
South Korea,Kim Seung-gyu,,,South Korea,False
South Korea,Kim Tae-hyeon,,,South Korea,False
South Korea,Hwang Hee-chan,,,South Korea,False
South Korea,Song Bum-keun,,,South Korea,False
South Korea,Cho Wi-je,,South Korea,South Korea,False
South Korea,Kim Moon-hwan,,,South Korea,False
South Korea,Bae Jun-ho,,,South Korea,False
South Korea,Seol Young-woo,,,South Korea,False
Bosnia and Herzegovina,Nikola Vasilj,,,Bosnia and Herzegovina,False
Bosnia and Herzegovina,Ermedin Demirović,,,Bosnia and Herzegovina,False
Bosnia and Herzegovina,Amir Hadžiahmetović,,,Bosnia and Herzegovina,False
Bosnia and Herzegovina,Nikola Katić,,,Bosnia and Herzegovina,False
Bosnia and Herzegovina,Kerim Alajbegović,,,Bosnia and Herzegovina,False
Canada,Joel Waterman,,,Canada,False
Canada,Mathieu Choinière,,,Canada,False
Canada,Stephen Eustáquio,,,Canada,False
Canada,Ismaël Koné,,,Canada,False
Canada,Cyle Larin,,,Canada,False
Canada,Jonathan Osorio,,,Canada,False
Canada,Jayden Nelson,,,Canada,False
Qatar,Pedro Miguel,,,Qatar,False
Qatar,Issa Laye,,,Qatar,False
Qatar,Ahmed Alaaeldin,,,Qatar,False
Qatar,Akram Afif,,,Qatar,False
Qatar,Almoez Ali,,,Qatar,False
Qatar,Salah Zakaria,,,Qatar,False
Qatar,Assim Madibo,,,Qatar,False
Qatar,Tahsin Jamshid,,Qatar,Qatar,False
Qatar,Al-Hashmi Al-Hussain,,Qatar,Qatar,False
Switzerland,Silvan Widmer,,,Switzerland,False
Switzerland,Breel Embolo,,,Switzerland,False
Brazil,Marquinhos,,,Brazil,False
Brazil,Alex Sandro,,,Brazil,False
Brazil,Bruno Guimarães,,,Brazil,False
Brazil,Matheus Cunha,,,Brazil,False
Brazil,Danilo Luiz,,,Brazil,False
Brazil,Bremer,,,Brazil,False
Brazil,Douglas Santos,,,Brazil,False
Brazil,Luiz Henrique,,,Brazil,False
Brazil,Roger Ibañez,,,Brazil,False
Haiti,Ruben Providence,,,Haiti,False
Haiti,Josué Casimir,,,Haiti,False
Haiti,Woodensky Pierre,,,Haiti,False
Morocco,Yassine Bounou,,,Morocco,False
Morocco,Noussair Mazraoui,,,Morocco,False
Morocco,Amine Sbaï,,,Morocco,False
Morocco,Youssef Belammari,,,Morocco,False
Morocco,Ayoub El Kaabi,,,Morocco,False
Morocco,Bilal El Khannouss,,,Morocco,False
Morocco,Redouane Halhal,,,Morocco,False
Morocco,Anass Salah-Eddine,,,Morocco,False
Scotland,Jack Hendry,,,Scotland,False
Scotland,Ross Stewart,,,Scotland,False
Scotland,George Hirst,,,Scotland,False
Scotland,Lewis Ferguson,,,Scotland,False
Scotland,Lawrence Shankland,,,Scotland,False
Australia,Mathew Leckie,,,Australia,False
Australia,Ajdin Hrustic,,,Australia,False
Australia,Aiden O'Neill,,,Australia,False
Australia,Nestory Irankunda,,,Australia,False
Australia,Harry Souttar,,,Australia,False
Australia,Cameron Burgess,,,Australia,False
