team_name,player_name,birth_country,citizenship,representing,data_complete
Czech Republic,Matěj Kovář,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,David Zima,,,Czech Republic,False
Czech Republic,Tomáš Holeš,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Robin Hranáč,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Vladimír Coufal,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Štěpán Chaloupek,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Ladislav Krejčí,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Vladimír Darida,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Adam Hložek,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Patrik Schick,,,Czech Republic,False
Czech Republic,Jan Kuchta,,,Czech Republic,False
Czech Republic,Lukáš Červ,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Mojmír Chytil,,,Czech Republic,False
Czech Republic,David Jurásek,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Pavel Šulc,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Jindřich Staněk,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Lukáš Provod,,,Czech Republic,False
Czech Republic,Michal Sadílek,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Tomáš Chorý,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Jaroslav Zelený,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,David Douděra,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Tomáš Souček,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Lukáš Horníček,,,Czech Republic,False
Czech Republic,Alexandr Sojka,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Hugo Sochůrek,Czech Republic,Czech Republic,Czech Republic,True
Czech Republic,Denis Višinský,Czech Republic,Czech Republic,Czech Republic,True
Mexico,Raúl Rangel,,,Mexico,False
Mexico,Jorge Sánchez,,,Mexico,False
Mexico,César Montes,Mexico,Mexico,Mexico,True
Mexico,Edson Álvarez,Mexico,Mexico,Mexico,True
Mexico,Johan Vásquez,Mexico,Mexico,Mexico,True
Mexico,Érik Lira,Mexico,Mexico,Mexico,True
Mexico,Luis Romo,Mexico,Mexico,Mexico,True
Mexico,Álvaro Fidalgo,,,Mexico,False
Mexico,Raúl Jiménez,Mexico,Mexico,Mexico,True
Mexico,Alexis Vega,Mexico,Mexico,Mexico,True
Mexico,Santiago Giménez,,,Mexico,False
Mexico,Carlos Acevedo,Mexico,Mexico,Mexico,True
Mexico,Guillermo Ochoa,Mexico,Mexico,Mexico,True
Mexico,Armando González,,,Mexico,False
Mexico,Israel Reyes,Mexico,Mexico,Mexico,True
Mexico,Julián Quiñones,Colombia,Colombia; Mexico,Mexico,True
Mexico,Orbelín Pineda,Mexico,Mexico,Mexico,True
Mexico,Obed Vargas,United States,Mexico; United States,Mexico,True
Mexico,Gilberto Mora,Mexico,Mexico,Mexico,True
Mexico,Mateo Chávez,,,Mexico,False
Mexico,César Huerta,Mexico,Mexico,Mexico,True
Mexico,Guillermo Martínez,Mexico,Mexico,Mexico,True
Mexico,Jesús Gallardo,,,Mexico,False
Mexico,Luis Chávez,Mexico,Mexico,Mexico,True
Mexico,Roberto Alvarado,Mexico,Mexico,Mexico,True
Mexico,Brian Gutiérrez,United States,Mexico; United States,Mexico,True
South Africa,Ronwen Williams,South Africa,South Africa,South Africa,True
South Africa,Thabang Matuludi,,,South Africa,False
South Africa,Khulumani Ndamane,South Africa,South Africa,South Africa,True
South Africa,Teboho Mokoena,South Africa,South Africa,South Africa,True
South Africa,Thalente Mbatha,South Africa,South Africa,South Africa,True
South Africa,Aubrey Modiba,South Africa,South Africa,South Africa,True
South Africa,Oswin Appollis,South Africa,South Africa,South Africa,True
South Africa,Tshepang Moremi,South Africa,South Africa,South Africa,True
South Africa,Lyle Foster,South Africa,South Africa,South Africa,True
South Africa,Relebohile Mofokeng,South Africa,South Africa,South Africa,True
South Africa,Themba Zwane,South Africa,South Africa,South Africa,True
South Africa,Thapelo Maseko,South Africa,South Africa,South Africa,True
South Africa,Sphephelo Sithole,South Africa,South Africa,South Africa,True
South Africa,Mbekezeli Mbokazi,South Africa,South Africa,South Africa,True
South Africa,Iqraam Rayners,South Africa,South Africa,South Africa,True
South Africa,Sipho Chaine,South Africa,South Africa,South Africa,True
South Africa,Evidence Makgopa,,,South Africa,False
South Africa,Samukele Kabini,South Africa,South Africa,South Africa,True
South Africa,Nkosinathi Sibisi,South Africa,South Africa,South Africa,True
South Africa,Khuliso Mudau,South Africa,South Africa,South Africa,True
South Africa,Ime Okon,South Africa,South Africa,South Africa,True
South Africa,Ricardo Goss,South Africa,South Africa,South Africa,True
South Africa,Jayden Adams,South Africa,South Africa,South Africa,True
South Africa,Olwethu Makhanya,South Africa,South Africa,South Africa,True
South Africa,Kamogelo Sebelebele,South Africa,South Africa,South Africa,True
South Africa,Bradley Cross,South Africa,South Africa,South Africa,True
South Korea,Kim Seung-gyu,,,South Korea,False
South Korea,Lee Han-beom,South Korea,South Korea,South Korea,True
South Korea,Lee Gi-hyuk,South Korea,South Korea,South Korea,True
South Korea,Kim Min-jae,South Korea,South Korea,South Korea,True
South Korea,Kim Tae-hyeon,,,South Korea,False
South Korea,Hwang In-beom,South Korea,South Korea,South Korea,True
South Korea,Son Heung-min,South Korea,South Korea,South Korea,True
South Korea,Paik Seung-ho,South Korea,South Korea,South Korea,True
South Korea,Cho Gue-sung,South Korea,South Korea,South Korea,True
South Korea,Lee Jae-sung,South Korea,South Korea,South Korea,True
South Korea,Hwang Hee-chan,,,South Korea,False
South Korea,Song Bum-keun,,,South Korea,False
South Korea,Lee Tae-seok,South Korea,South Korea,South Korea,True
South Korea,Cho Wi-je,,South Korea,South Korea,False
South Korea,Kim Moon-hwan,,,South Korea,False
South Korea,Park Jin-seob,South Korea,South Korea,South Korea,True
South Korea,Bae Jun-ho,,,South Korea,False
South Korea,Oh Hyeon-gyu,South Korea,South Korea,South Korea,True
South Korea,Lee Kang-in,South Korea,South Korea,South Korea,True
South Korea,Yang Hyun-jun,South Korea,South Korea,South Korea,True
South Korea,Jo Hyeon-woo,South Korea,South Korea,South Korea,True
South Korea,Seol Young-woo,,,South Korea,False
South Korea,Jens Castrop,Germany,Germany; South Korea,South Korea,True
South Korea,Kim Jin-gyu,South Korea,South Korea,South Korea,True
